iter	Passed	Remaining
0	164	164371
1	180	89957
2	190	63309
3	197	49240
4	203	40580
5	208	34617
6	214	30373
7	219	27205
8	224	24714
9	229	22747
10	235	21128
11	240	19781
12	245	18642
13	250	17676
14	256	16825
15	260	16048
16	266	15409
17	271	14826
18	276	14296
19	282	13827
20	287	13401
21	292	13025
22	298	12678
23	303	12341
24	308	12028
25	313	11743
26	318	11490
27	323	11239
28	328	10999
29	333	10790
30	338	10589
31	343	10401
32	348	10218
33	354	10059
34	359	9905
35	364	9754
36	369	9606
37	374	9471
38	379	9346
39	384	9229
40	389	9105
41	394	9003
42	400	8906
43	405	8805
44	410	8709
45	415	8609
46	420	8517
47	425	8440
48	430	8359
49	435	8274
50	440	8201
51	446	8131
52	451	8058
53	455	7983
54	460	7915
55	465	7853
56	471	7798
57	476	7737
58	481	7685
59	487	7633
60	492	7579
61	497	7528
62	502	7467
63	506	7414
64	511	7363
65	516	7315
66	521	7265
67	527	7225
68	532	7180
69	537	7147
70	543	7114
71	548	7074
72	554	7040
73	559	7005
74	564	6967
75	570	6931
76	575	6900
77	580	6867
78	585	6831
79	590	6795
80	596	6764
81	601	6733
82	606	6699
83	611	6664
84	616	6636
85	621	6608
86	626	6577
87	631	6548
88	637	6522
89	642	6497
90	647	6470
91	652	6443
92	658	6417
93	663	6397
94	669	6373
95	674	6347
96	678	6320
97	683	6293
98	689	6271
99	693	6245
100	698	6218
101	703	6193
102	708	6171
103	713	6144
104	718	6121
105	723	6102
106	728	6080
107	733	6055
108	738	6035
109	743	6017
110	748	5995
111	753	5972
112	758	5953
113	763	5934
114	768	5915
115	773	5894
116	778	5874
117	783	5854
118	788	5838
119	793	5819
120	798	5801
121	803	5784
122	808	5764
123	813	5745
124	818	5731
125	823	5714
126	828	5696
127	833	5679
128	838	5664
129	843	5647
130	848	5630
131	853	5613
132	858	5597
133	863	5580
134	868	5561
135	872	5545
136	878	5531
137	882	5514
138	887	5497
139	892	5481
140	897	5466
141	901	5448
142	907	5437
143	912	5424
144	917	5410
145	922	5396
146	927	5381
147	932	5365
148	936	5349
149	941	5336
150	946	5324
151	951	5309
152	956	5293
153	961	5280
154	966	5266
155	970	5252
156	975	5237
157	980	5224
158	985	5210
159	989	5195
160	994	5182
161	999	5170
162	1004	5156
163	1009	5143
164	1014	5132
165	1019	5120
166	1023	5106
167	1028	5094
168	1033	5083
169	1038	5070
170	1044	5062
171	1049	5054
172	1055	5046
173	1061	5038
174	1066	5027
175	1071	5017
176	1077	5008
177	1082	4999
178	1088	4990
179	1093	4980
180	1098	4969
